,zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,isEstimated,estimationMethod
0,FR,66,2023-07-18T17:00:00.000Z,2023-07-19T11:50:33.907Z,2023-07-15T17:55:38.940Z,lifecycle,False,
1,FR,68,2023-07-18T18:00:00.000Z,2023-07-19T11:50:54.460Z,2023-07-15T18:57:30.361Z,lifecycle,False,
2,FR,66,2023-07-18T19:00:00.000Z,2023-07-19T07:55:27.998Z,2023-07-15T19:51:36.483Z,lifecycle,False,
3,FR,66,2023-07-18T20:00:00.000Z,2023-07-19T07:55:12.203Z,2023-07-15T20:56:19.148Z,lifecycle,False,
4,FR,59,2023-07-18T21:00:00.000Z,2023-07-19T00:53:08.308Z,2023-07-15T21:51:45.689Z,lifecycle,False,
5,FR,58,2023-07-18T22:00:00.000Z,2023-07-19T02:53:21.875Z,2023-07-15T22:53:21.642Z,lifecycle,False,
6,FR,58,2023-07-18T23:00:00.000Z,2023-07-19T09:53:10.675Z,2023-07-15T23:52:19.182Z,lifecycle,False,
7,FR,58,2023-07-19T00:00:00.000Z,2023-07-19T09:53:10.675Z,2023-07-16T00:54:26.948Z,lifecycle,False,
8,FR,58,2023-07-19T01:00:00.000Z,2023-07-19T03:53:34.380Z,2023-07-16T01:53:17.088Z,lifecycle,False,
9,FR,59,2023-07-19T02:00:00.000Z,2023-07-19T04:52:39.094Z,2023-07-16T02:53:03.606Z,lifecycle,False,
10,FR,57,2023-07-19T03:00:00.000Z,2023-07-19T09:53:16.777Z,2023-07-16T03:53:38.485Z,lifecycle,False,
11,FR,60,2023-07-19T04:00:00.000Z,2023-07-19T09:53:16.777Z,2023-07-16T04:54:41.598Z,lifecycle,False,
12,FR,58,2023-07-19T05:00:00.000Z,2023-07-19T09:53:10.675Z,2023-07-16T05:52:49.834Z,lifecycle,False,
13,FR,61,2023-07-19T06:00:00.000Z,2023-07-19T08:53:48.380Z,2023-07-16T06:53:59.782Z,lifecycle,False,
14,FR,65,2023-07-19T07:00:00.000Z,2023-07-19T10:53:46.164Z,2023-07-16T07:53:18.518Z,lifecycle,False,
15,FR,62,2023-07-19T08:00:00.000Z,2023-07-19T10:53:50.315Z,2023-07-16T08:54:00.508Z,lifecycle,False,
16,FR,52,2023-07-19T09:00:00.000Z,2023-07-19T12:54:16.471Z,2023-07-16T09:52:34.110Z,lifecycle,False,
17,FR,48,2023-07-19T10:00:00.000Z,2023-07-19T13:53:29.483Z,2023-07-16T10:55:06.225Z,lifecycle,False,
18,FR,45,2023-07-19T11:00:00.000Z,2023-07-19T13:53:29.483Z,2023-07-16T11:53:28.474Z,lifecycle,False,
19,FR,41,2023-07-19T12:00:00.000Z,2023-07-19T14:55:47.474Z,2023-07-16T12:53:59.185Z,lifecycle,False,
20,FR,41,2023-07-19T13:00:00.000Z,2023-07-19T15:54:07.885Z,2023-07-16T13:52:29.427Z,lifecycle,False,
21,FR,36,2023-07-19T14:00:00.000Z,2023-07-19T15:54:07.885Z,2023-07-16T14:52:12.102Z,lifecycle,False,
22,FR,45,2023-07-19T15:00:00.000Z,2023-07-19T15:54:07.885Z,2023-07-16T15:54:06.112Z,lifecycle,True,TIME_SLICER_AVERAGE
23,FR,48,2023-07-19T16:00:00.000Z,2023-07-19T15:54:07.885Z,2023-07-16T16:51:52.681Z,lifecycle,True,TIME_SLICER_AVERAGE
